Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year
00601,17242.0,40.5,13092.0,6999.0,10772.0,62.47535088736805,1781.0,86200.0,2018
00602,38442.0,42.3,16358.0,9277.0,19611.0,51.01451537380989,3692.0,86300.0,2018
00603,48814.0,41.1,16603.0,11307.0,24337.0,49.85659851681895,5888.0,122400.0,2018
00606,6437.0,43.3,12832.0,5943.0,4163.0,64.67298430946093,311.0,91600.0,2018
00610,27073.0,42.1,19309.0,10220.0,11724.0,43.30513796032948,2498.0,88600.0,2018
00612,60303.0,42.4,18171.0,10549.0,28547.0,47.339270019733675,7561.0,97800.0,2018
00616,10765.0,42.1,16018.0,9102.0,5388.0,50.05109150023223,1328.0,96100.0,2018
00617,23974.0,40.1,16735.0,9122.0,11879.0,49.549511971302245,2603.0,106100.0,2018
00622,6578.0,52.5,15206.0,11749.0,3309.0,50.30404378230465,966.0,129700.0,2018
00623,42427.0,41.8,16280.0,8857.0,22617.0,53.30803497772645,6081.0,110500.0,2018
00624,22707.0,37.9,17578.0,8696.0,12519.0,55.132778438367026,2824.0,75800.0,2018
00627,32222.0,40.8,16831.0,10252.0,16153.0,50.13034572652225,3629.0,100200.0,2018
00631,1568.0,47.4,9681.0,7863.0,1020.0,65.05102040816327,135.0,84700.0,2018
00637,22975.0,42.1,16887.0,9586.0,10756.0,46.816104461371054,2651.0,96600.0,2018
00638,16701.0,42.0,14916.0,8485.0,9291.0,55.63139931740614,1399.0,92100.0,2018
00641,27571.0,43.1,16795.0,8739.0,14287.0,51.81894019078017,2893.0,91800.0,2018
00646,37494.0,39.9,29320.0,16462.0,12935.0,34.49885314983731,5499.0,138700.0,2018
00647,5643.0,48.0,13674.0,7556.0,3532.0,62.59082048555733,656.0,89600.0,2018
00650,14760.0,39.2,19631.0,8799.0,7718.0,52.289972899728994,1092.0,93000.0,2018
00652,3697.0,39.8,21650.0,11156.0,1620.0,43.81931295645118,468.0,98700.0,2018
00653,11140.0,39.6,12915.0,7366.0,7167.0,64.33572710951526,772.0,91400.0,2018
00656,18979.0,41.0,16902.0,8701.0,10521.0,55.434954423309975,2385.0,80400.0,2018
00659,40390.0,41.5,17201.0,10659.0,18717.0,46.34067838573905,5171.0,93500.0,2018
00660,16180.0,45.8,19394.0,11874.0,6592.0,40.741656365883806,2061.0,101600.0,2018
00662,40290.0,41.1,17180.0,9320.0,21809.0,54.13005708612559,4523.0,106400.0,2018
00664,14991.0,38.0,15253.0,7501.0,8935.0,59.60242812354079,1245.0,93900.0,2018
00667,23590.0,44.4,13766.0,7268.0,14358.0,60.86477320898686,1940.0,89000.0,2018
00669,25653.0,42.1,14816.0,8779.0,13931.0,54.30553931314076,2766.0,88000.0,2018
00670,8498.0,41.0,13427.0,7270.0,4759.0,56.00141209696399,791.0,83600.0,2018
00674,39859.0,41.6,19211.0,10878.0,18226.0,45.72618480142502,4874.0,107600.0,2018
00676,36995.0,39.5,14146.0,8802.0,21084.0,56.9914853358562,3575.0,96500.0,2018
00677,14311.0,45.4,21673.0,11663.0,6002.0,41.939766613094825,1913.0,121100.0,2018
00678,26091.0,40.4,16200.0,9654.0,13552.0,51.94128243455598,2613.0,107100.0,2018
00680,46395.0,42.9,13911.0,10404.0,23841.0,51.387002909796315,4930.0,90200.0,2018
00682,32359.0,36.9,15029.0,11102.0,17380.0,53.709941592756266,4254.0,113400.0,2018
00683,30424.0,43.7,15523.0,9829.0,15690.0,51.571128056797264,3705.0,91500.0,2018
00685,38039.0,43.6,14617.0,8724.0,20863.0,54.84634191224796,3988.0,97500.0,2018
00687,31320.0,37.9,20589.0,9715.0,14209.0,45.367177522349934,2822.0,100300.0,2018
00688,12202.0,40.9,17231.0,9155.0,5880.0,48.18882150467137,1487.0,96200.0,2018
00690,5352.0,46.4,17622.0,11632.0,2738.0,51.158445440956655,742.0,114000.0,2018
00692,35840.0,38.6,19094.0,11955.0,16626.0,46.38950892857143,3535.0,116900.0,2018
00693,54428.0,40.6,19119.0,10536.0,24607.0,45.21018593371059,5626.0,107300.0,2018
00694,69.0,73.6,-666666666.0,6880.0,24.0,34.78260869565217,0.0,-666666666.0,2018
00698,36312.0,42.9,15019.0,8355.0,17419.0,47.97036792244988,4902.0,92000.0,2018
00703,26320.0,41.6,17129.0,10040.0,13419.0,50.984042553191486,2515.0,114500.0,2018
00704,8274.0,32.9,14293.0,7373.0,5096.0,61.59052453468697,712.0,77000.0,2018
00705,23176.0,41.5,19516.0,10562.0,10789.0,46.552468070417675,2251.0,114200.0,2018
00707,10964.0,44.4,19596.0,9398.0,5364.0,48.92375045603794,1214.0,89100.0,2018
00714,17998.0,39.6,17095.0,8021.0,10390.0,57.728636515168354,1492.0,88800.0,2018
00715,2972.0,43.1,13070.0,7114.0,1943.0,65.37685060565276,175.0,81100.0,2018
00716,28089.0,43.7,18818.0,14616.0,13283.0,47.288974331588875,4613.0,115400.0,2018
00717,16659.0,38.3,12251.0,9975.0,9398.0,56.413950417191906,2245.0,105500.0,2018
00718,25715.0,37.5,19318.0,9329.0,12678.0,49.30196383433793,2513.0,91400.0,2018
00719,29119.0,39.8,19757.0,9167.0,13155.0,45.1766887599162,2749.0,90300.0,2018
00720,21276.0,38.9,13408.0,7914.0,12143.0,57.07369806354578,1764.0,89900.0,2018
00723,17393.0,43.9,15826.0,9270.0,9234.0,53.09032369343989,1610.0,92300.0,2018
00725,80555.0,41.3,20920.0,13109.0,33210.0,41.22649121718081,11560.0,123500.0,2018
00727,54823.0,39.3,31401.0,16733.0,17204.0,31.380989730587526,8763.0,142600.0,2018
00728,39698.0,38.6,19047.0,9597.0,18401.0,46.35246108116278,5143.0,98200.0,2018
00729,51593.0,39.0,20920.0,11730.0,21963.0,42.569728451534125,5664.0,110100.0,2018
00730,31634.0,41.5,15431.0,11224.0,17358.0,54.8713409622558,3553.0,93900.0,2018
00731,12722.0,40.3,17083.0,10431.0,6808.0,53.51359849080333,1491.0,80100.0,2018
00735,12404.0,41.8,19184.0,12739.0,5421.0,43.70364398581103,1185.0,92200.0,2018
00736,47411.0,43.0,21000.0,11996.0,20761.0,43.78941595832191,5515.0,117700.0,2018
00738,30376.0,41.5,19404.0,11926.0,13062.0,43.00105346326047,3982.0,101000.0,2018
00739,36847.0,38.9,20098.0,11112.0,15383.0,41.74831058159416,4181.0,121300.0,2018
00740,1625.0,35.6,13136.0,6748.0,1072.0,65.96923076923076,66.0,66400.0,2018
00741,4880.0,39.8,22073.0,10191.0,2205.0,45.1844262295082,374.0,83900.0,2018
00745,51429.0,40.7,22782.0,11076.0,19447.0,37.813296000311105,5998.0,114900.0,2018
00751,21009.0,42.1,17567.0,9556.0,10774.0,51.28278356894664,1992.0,88000.0,2018
00754,37727.0,40.9,18895.0,10970.0,16908.0,44.81670951838206,4002.0,108600.0,2018
00757,22066.0,37.8,17640.0,10895.0,10392.0,47.09507840116016,2436.0,92400.0,2018
00765,8607.0,43.7,15271.0,11174.0,3577.0,41.55919600325316,919.0,99900.0,2018
00766,23201.0,38.8,19746.0,10631.0,11151.0,48.062583509331496,2618.0,90800.0,2018
00767,34166.0,42.5,15999.0,9144.0,18224.0,53.33957735760698,3706.0,88100.0,2018
00769,39121.0,40.6,19928.0,10774.0,18303.0,46.78561386467626,4495.0,89000.0,2018
00771,37165.0,39.0,21499.0,11157.0,16202.0,43.594780034979145,3798.0,118200.0,2018
00772,20055.0,38.9,15658.0,7934.0,11273.0,56.210421341311395,1259.0,94900.0,2018
00773,18547.0,41.2,20829.0,11007.0,8283.0,44.65951366797865,1830.0,110400.0,2018
00775,1299.0,41.9,23281.0,11658.0,541.0,41.64742109314857,113.0,116700.0,2018
00777,39994.0,38.5,19139.0,9414.0,20029.0,50.08001200180027,3807.0,108600.0,2018
00778,46675.0,38.6,33763.0,17457.0,13457.0,28.831280128548475,7238.0,144000.0,2018
00780,11653.0,38.3,24287.0,14194.0,4529.0,38.86552819016562,1698.0,101000.0,2018
00782,18229.0,38.0,12492.0,6747.0,10904.0,59.816775467661415,1186.0,92000.0,2018
00783,33372.0,38.6,14748.0,7532.0,18996.0,56.92197051420352,2832.0,89400.0,2018
00784,40685.0,38.5,16680.0,9889.0,19962.0,49.06476588423252,4568.0,89200.0,2018
00786,348.0,64.0,-666666666.0,14278.0,46.0,13.218390804597702,0.0,95700.0,2018
00791,48569.0,42.3,19793.0,12288.0,21378.0,44.01573019827462,5981.0,97400.0,2018
00794,28755.0,36.4,15970.0,8221.0,16771.0,58.32376977916884,2577.0,101200.0,2018
00795,44766.0,38.5,20700.0,10398.0,20840.0,46.55318768708395,5901.0,92700.0,2018
00901,6536.0,43.5,20943.0,30345.0,2483.0,37.98959608323133,1215.0,267100.0,2018
00906,184.0,35.4,102917.0,60330.0,13.0,7.065217391304348,42.0,358500.0,2018
00907,16202.0,48.6,33167.0,37067.0,4287.0,26.459696333785953,3481.0,226400.0,2018
00909,4989.0,38.8,16875.0,14984.0,2393.0,47.965524153136904,683.0,137700.0,2018
00911,7242.0,47.6,32833.0,29751.0,2070.0,28.583264291632148,1869.0,270600.0,2018
00912,5455.0,45.7,22268.0,17863.0,2309.0,42.32813932172319,871.0,134800.0,2018
00913,8406.0,25.2,6878.0,7597.0,6823.0,81.16821318106115,414.0,353700.0,2018
00915,26131.0,39.6,13839.0,9526.0,15675.0,59.986223259729826,1544.0,88400.0,2018
00917,18212.0,46.4,14307.0,13838.0,9508.0,52.207335822534596,2081.0,114700.0,2018
00918,16063.0,42.5,23434.0,21307.0,6625.0,41.243852331444934,3285.0,173400.0,2018
00920,16809.0,45.5,25841.0,15060.0,5394.0,32.08995181152954,2760.0,154000.0,2018
00921,33394.0,40.0,19358.0,13323.0,14854.0,44.4810444990118,4267.0,139100.0,2018
00923,24028.0,41.0,14241.0,11039.0,13338.0,55.510238055601796,2355.0,109800.0,2018
00924,49508.0,39.0,18832.0,13159.0,23359.0,47.18227357194797,6149.0,131000.0,2018
00925,6924.0,37.3,9468.0,11992.0,4290.0,61.95840554592721,877.0,124600.0,2018
00926,96530.0,43.6,34781.0,23190.0,28364.0,29.383611312545323,18331.0,172500.0,2018
00927,13351.0,45.6,33502.0,24936.0,3431.0,25.6984495543405,3188.0,198800.0,2018
00934,79.0,32.8,-666666666.0,16956.0,0.0,0.0,19.0,-666666666.0,2018
00936,812.0,77.3,-666666666.0,7132.0,0.0,0.0,61.0,-666666666.0,2018
00949,73891.0,40.0,26392.0,13582.0,24926.0,33.733472276731945,10637.0,131200.0,2018
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,2018
00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,2018
00952,8156.0,41.9,14911.0,8660.0,4134.0,50.68661108386464,583.0,102900.0,2018
00953,71891.0,37.8,29146.0,14447.0,20737.0,28.845057100332447,11343.0,138100.0,2018
00956,65355.0,41.4,23149.0,12448.0,24890.0,38.0843087751511,8565.0,125900.0,2018
00957,38915.0,41.3,24612.0,13557.0,14234.0,36.5771553385584,5341.0,131300.0,2018
00959,47459.0,40.4,30049.0,16146.0,14071.0,29.648749446891,8448.0,139900.0,2018
