Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year
29590,3543.0,39.1,30985.0,13288.0,869.0,24.52723680496754,162.0,68600.0,2020
93306,74296.0,31.3,54450.0,23580.0,15853.0,21.33762248304081,5098.0,211100.0,2020
93660,4082.0,26.7,39625.0,12475.0,1057.0,25.89416952474277,52.0,171700.0,2020
93110,15777.0,46.9,93264.0,53375.0,1332.0,8.442669709070165,3405.0,844300.0,2020
93212,22596.0,34.4,42983.0,10656.0,3911.0,17.30837316339175,515.0,162100.0,2020
14895,8957.0,50.5,48778.0,35838.0,1242.0,13.866249860444345,878.0,74100.0,2020
14006,9823.0,46.2,56017.0,30155.0,1663.0,16.929654891580984,935.0,125800.0,2020
67514,963.0,31.3,46875.0,21647.0,210.0,21.806853582554517,66.0,70200.0,2020
67844,744.0,45.8,47262.0,29896.0,93.0,12.5,63.0,98900.0,2020
67861,1942.0,38.9,59201.0,29047.0,165.0,8.496395468589084,222.0,102600.0,2020
67212,44396.0,36.0,58867.0,30328.0,4667.0,10.51220830705469,7119.0,147000.0,2020
67567,654.0,39.6,45682.0,24597.0,78.0,11.926605504587156,88.0,57500.0,2020
67576,2067.0,39.1,62083.0,30449.0,210.0,10.159651669085632,273.0,92600.0,2020
45237,22104.0,40.0,38542.0,24918.0,4837.0,21.882917119073472,2498.0,115100.0,2020
45788,1176.0,34.2,66504.0,28504.0,35.0,2.9761904761904763,62.0,155200.0,2020
45819,285.0,31.9,50417.0,23759.0,44.0,15.43859649122807,3.0,82600.0,2020
83824,337.0,30.3,53125.0,20327.0,48.0,14.243323442136498,4.0,-666666666.0,2020
83641,3720.0,36.1,61726.0,31484.0,325.0,8.736559139784946,376.0,226200.0,2020
83312,74.0,33.5,-666666666.0,24428.0,0.0,0.0,12.0,140000.0,2020
85016,35627.0,38.2,66759.0,53050.0,4492.0,12.608414966177337,6935.0,359000.0,2020
85029,47541.0,35.8,50067.0,23984.0,8683.0,18.26423508129825,5047.0,207400.0,2020
85325,1281.0,72.6,29696.0,24061.0,110.0,8.58704137392662,20.0,96200.0,2020
85701,5279.0,34.9,45862.0,37287.0,1442.0,27.315779503693882,1054.0,300000.0,2020
85015,44010.0,30.4,42038.0,21110.0,12206.0,27.734605771415588,3575.0,205700.0,2020
84028,573.0,27.4,56458.0,17820.0,156.0,27.225130890052355,55.0,282100.0,2020
84106,35166.0,34.4,76751.0,40056.0,3369.0,9.58027640334414,7805.0,359500.0,2020
84003,51917.0,26.8,93741.0,34864.0,2325.0,4.478301904963692,9057.0,382700.0,2020
84014,17527.0,38.5,100230.0,40284.0,460.0,2.624522165801335,3723.0,349400.0,2020
84115,27627.0,32.9,47651.0,26757.0,5101.0,18.463821623773846,3316.0,253200.0,2020
84064,1007.0,28.1,73015.0,20513.0,71.0,7.0506454816285995,61.0,165300.0,2020
84032,24229.0,32.4,76699.0,32558.0,1067.0,4.403813611787528,3774.0,423700.0,2020
84108,21864.0,35.1,107660.0,56242.0,1607.0,7.349981705085986,5208.0,579500.0,2020
84601,33771.0,25.1,51440.0,21491.0,5220.0,15.457048947321667,3966.0,251700.0,2020
93001,31729.0,38.8,66460.0,35490.0,4487.0,14.141636988244192,5317.0,579000.0,2020
93234,7258.0,28.2,31788.0,13273.0,2996.0,41.27858914301461,31.0,161100.0,2020
93307,86273.0,26.8,42128.0,14747.0,24624.0,28.541954029650064,2349.0,172500.0,2020
93536,68575.0,36.9,84674.0,32443.0,7492.0,10.925264309150565,7366.0,352700.0,2020
93546,9750.0,37.0,69702.0,36265.0,1140.0,11.692307692307692,1337.0,460800.0,2020
93669,320.0,57.5,-666666666.0,14809.0,0.0,0.0,0.0,235800.0,2020
93701,10398.0,28.5,23356.0,12332.0,4659.0,44.8066935949221,319.0,184600.0,2020
93664,370.0,66.3,106071.0,63794.0,17.0,4.594594594594595,93.0,564100.0,2020
93218,827.0,29.3,26905.0,10557.0,237.0,28.657799274486095,12.0,122700.0,2020
93260,244.0,50.0,41382.0,22064.0,36.0,14.754098360655737,17.0,134700.0,2020
93612,35475.0,33.6,46892.0,25650.0,6138.0,17.302325581395348,3220.0,226900.0,2020
93621,118.0,47.9,-666666666.0,66547.0,0.0,0.0,19.0,-666666666.0,2020
14031,10158.0,48.8,85655.0,50272.0,315.0,3.1010041346721797,1543.0,268600.0,2020
67210,10001.0,28.4,46661.0,19982.0,2049.0,20.48795120487951,966.0,143600.0,2020
67219,12240.0,31.1,57025.0,24594.0,2687.0,21.952614379084967,1280.0,122700.0,2020
67515,45.0,58.4,80313.0,53573.0,0.0,0.0,17.0,-666666666.0,2020
67522,1942.0,46.9,59286.0,29232.0,93.0,4.7888774459320285,227.0,124200.0,2020
67867,1752.0,34.1,54896.0,26163.0,127.0,7.248858447488584,103.0,127500.0,2020
67871,4939.0,39.6,55568.0,30044.0,375.0,7.592630087062158,579.0,139600.0,2020
67220,13004.0,31.6,66466.0,31175.0,2078.0,15.979698554290987,2597.0,155600.0,2020
67226,20926.0,34.3,69520.0,36428.0,2055.0,9.820319220108955,4252.0,219600.0,2020
67230,11121.0,43.8,125817.0,59140.0,391.0,3.51587087492132,2595.0,316300.0,2020
67601,24020.0,32.5,55176.0,30396.0,3417.0,14.225645295587011,3689.0,179400.0,2020
67635,156.0,54.5,52500.0,29416.0,19.0,12.179487179487179,22.0,-666666666.0,2020
13420,1064.0,57.9,90179.0,41928.0,93.0,8.740601503759398,116.0,210100.0,2020
13602,4383.0,21.8,-666666666.0,22168.0,28.0,0.6388318503308237,141.0,-666666666.0,2020
13635,1108.0,42.4,55167.0,23913.0,152.0,13.71841155234657,68.0,77100.0,2020
13642,10055.0,45.1,40813.0,23560.0,1512.0,15.037294878170064,688.0,94100.0,2020
13654,2603.0,29.6,49338.0,21603.0,926.0,35.5743373031118,103.0,103300.0,2020
13656,2834.0,33.3,50667.0,23220.0,407.0,14.361326746647848,144.0,134800.0,2020
13659,382.0,51.5,57000.0,23513.0,59.0,15.44502617801047,26.0,103500.0,2020
13660,1641.0,35.5,59375.0,25340.0,295.0,17.97684338817794,145.0,106100.0,2020
13669,15870.0,42.8,53915.0,25745.0,2771.0,17.46061751732829,1251.0,84500.0,2020
52060,8107.0,42.6,51144.0,28983.0,1348.0,16.627605772788947,610.0,102700.0,2020
52064,846.0,37.1,52422.0,28444.0,44.0,5.200945626477542,69.0,133600.0,2020
52077,317.0,53.1,59375.0,30971.0,21.0,6.624605678233438,26.0,65900.0,2020
52144,1026.0,49.8,70398.0,42742.0,16.0,1.5594541910331383,105.0,142900.0,2020
52159,2412.0,42.6,61193.0,35659.0,164.0,6.799336650082918,276.0,128300.0,2020
52160,1003.0,47.5,71011.0,35614.0,39.0,3.8883349950149553,145.0,163500.0,2020
52041,1886.0,35.2,73024.0,30883.0,68.0,3.605514316012725,174.0,159000.0,2020
52163,352.0,36.6,48984.0,24164.0,6.0,1.7045454545454546,30.0,74200.0,2020
52172,6051.0,41.8,52597.0,27377.0,519.0,8.57709469509172,514.0,134600.0,2020
52201,1541.0,38.9,87679.0,35477.0,42.0,2.7255029201817003,167.0,155500.0,2020
